GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Request Service,com.stationery.request.controller,RequestController,249,0,14,0,52,0,20,0,13,0
Request Service,com.stationery.request,RequestServiceApplication,8,0,0,0,3,0,2,0,2,0
Request Service,com.stationery.request.model,AuditLog,77,34,0,0,24,12,21,2,21,2
Request Service,com.stationery.request.model,RequestStatus,0,44,0,0,0,5,0,1,0,1
Request Service,com.stationery.request.model,RequestItem,25,35,0,0,7,12,7,6,7,6
Request Service,com.stationery.request.model,StationeryRequest,56,106,7,1,15,32,10,19,6,19
Request Service,com.stationery.request.model,RequestItem.RequestItemBuilder,5,37,0,0,1,6,1,6,1,6
Request Service,com.stationery.request.model,StationeryRequest.StationeryRequestBuilder,10,65,0,0,2,10,2,9,2,9
Request Service,com.stationery.request.model,AuditLog.AuditLogBuilder,15,55,0,0,3,8,3,8,3,8
Request Service,com.stationery.request.service,EmailService,63,4,2,0,18,1,3,1,2,1
Request Service,com.stationery.request.service,RequestService,375,460,15,7,81,121,20,16,11,14
Request Service,com.stationery.request.dto,CreateRequestDto,7,13,0,0,2,5,2,3,2,3
Request Service,com.stationery.request.dto,RequestItemDto.RequestItemDtoBuilder,0,28,0,0,0,5,0,5,0,5
Request Service,com.stationery.request.dto,RequestResponse.RequestResponseBuilder,0,70,0,0,0,11,0,11,0,11
Request Service,com.stationery.request.dto,RequestItemDto,15,25,0,0,4,9,4,5,4,5
Request Service,com.stationery.request.dto,CreateRequestDto.CreateRequestDtoBuilder,0,14,0,0,0,3,0,3,0,3
Request Service,com.stationery.request.dto,ApproveRejectDto,20,0,0,0,7,0,5,0,5,0
Request Service,com.stationery.request.dto,RequestResponse,45,55,0,0,12,19,12,9,12,9
Request Service,com.stationery.request.dto,AuditLogRequest,66,0,0,0,21,0,14,0,14,0
Request Service,com.stationery.request.dto,ApproveRejectDto.ApproveRejectDtoBuilder,14,0,0,0,3,0,3,0,3,0
Request Service,com.stationery.request.exception,ErrorResponse.ErrorResponseBuilder,35,0,0,0,6,0,6,0,6,0
Request Service,com.stationery.request.exception,ErrorResponse,50,0,0,0,16,0,11,0,11,0
Request Service,com.stationery.request.exception,InsufficientStockException,19,0,0,0,4,0,2,0,2,0
Request Service,com.stationery.request.exception,ResourceNotFoundException,4,19,0,0,2,2,1,1,1,1
Request Service,com.stationery.request.exception,GlobalExceptionHandler,195,0,2,0,59,0,11,0,10,0
